2622 7080
0 2595 6.15310524
1 979 -0.03470868
2 1211 -0.14622342
3 163 -0.16633356
3 350 -0.21767236
3 353 -0.27749516
3 362 -0.29919227
3 389 -0.30397916
3 595 -0.20663085
3 603 -0.31100574
3 631 -0.28799836
3 671 -0.26167704
3 850 -0.29256430
3 982 -0.14761438
3 1911 -0.28770761
3 2290 -0.14761438
4 35 -0.21603803
4 50 -0.30923146
4 110 -0.30026142
4 463 -0.26461068
4 510 -0.30549433
4 603 -0.31067191
4 856 -0.23885340
4 878 -0.20687944
4 943 -0.25932308
4 1057 -0.26461068
4 1300 -0.24503733
4 1641 -0.27254324
4 1674 -0.30985971
4 1758 -0.27279807
4 1818 -0.25322979
4 1958 -0.24041642
4 2024 -0.29085509
5 1299 -0.28750864
6 50 -0.30871062
6 218 -0.26863232
6 520 -0.26787860
6 585 -0.23221581
6 652 -0.19529620
6 1001 -0.29936662
6 1323 -0.28089359
6 1645 -0.20663085
6 1779 -0.26451738
6 1831 -0.23221581
6 2524 -0.27916686
7 1530 -0.16606450
7 2191 -0.29159637
8 151 -0.05543566
8 1976 -0.02010968
8 2476 -0.04178698
8 2497 -0.04954799
9 140 -0.29126417
9 381 -0.20663085
9 406 -0.12502784
9 940 -0.14761438
9 1030 -0.14963827
9 1865 -0.14284943
9 1980 -0.07827213
9 2093 -0.30041869
9 2251 -0.13596426
9 2316 -0.09370547
9 2482 -0.18542650
10 280 -0.26677369
10 365 0.06149334
10 1674 -0.30889956
10 2111 -0.04024549
10 2334 0.01486304
10 2547 -0.29666884
11 16 -0.08733122
11 362 -0.28974783
11 389 -0.30188382
11 850 -0.28636289
11 1201 -0.29171571
11 1430 -0.00800726
11 1621 0.03386057
12 89 0.20656536
13 310 0.34418949
13 547 0.31999299
13 1022 -0.18437548
13 2135 0.54492576
13 2177 0.08586826
14 185 -0.25125934
14 288 -0.19691981
15 2148 0.12282970
15 2595 2.65583327
16 324 -0.02426997
16 452 -0.28670730
16 1447 0.01292666
16 1846 -0.29839909
17 276 -0.29485748
17 281 -0.29655109
17 321 -0.30668267
17 603 -0.31034171
17 606 -0.30809477
17 737 -0.28897383
17 902 -0.30588300
17 1230 -0.27148173
17 1237 -0.29177809
17 1591 -0.25166120
17 1798 -0.30636786
17 1856 -0.21086997
17 1929 -0.29003360
17 2054 -0.27695899
17 2377 -0.30307077
17 2420 -0.30042596
17 2431 -0.26366361
17 2479 -0.29192346
17 2607 -0.27910678
18 1946 -0.30533829
19 168 -0.06631080
19 636 -0.18463716
19 902 -0.30614197
19 949 -0.28750864
19 1452 -0.28897152
19 1496 -0.05296284
19 1740 -0.19673957
19 1903 -0.24931266
20 2151 -0.27339695
21 333 -0.20663085
21 620 -0.21923045
21 2481 -0.04178698
22 230 -0.11284037
22 1127 0.03178448
22 1276 0.48917319
22 2096 -0.03417465
23 760 0.10812363
23 2184 -0.21643307
24 1274 1.36714154
24 1428 1.36714154
24 2523 1.33322860
25 240 -0.22213012
25 398 -0.09433803
25 2093 -0.29459254
25 2282 0.54492576
26 362 -0.29919778
26 389 -0.30473757
26 850 -0.28546850
27 28 -0.24089705
27 92 -0.23272641
27 103 -0.25659748
27 162 -0.29788779
27 410 -0.25432092
27 522 -0.25398075
27 771 -0.30009987
27 1028 -0.27008417
27 1416 -0.26315956
27 1452 -0.28885173
27 1472 -0.25398075
27 1657 -0.26586074
27 1729 -0.26164739
27 1739 -0.24813839
27 1765 -0.20663085
27 2151 -0.28089359
27 2323 -0.22483979
27 2579 -0.26538973
29 513 -0.18892991
29 1178 0.25943417
29 1684 -0.10220987
29 2093 -0.30247059
29 2098 0.04171079
30 307 -0.26607751
30 456 -0.26461068
30 618 -0.08382782
30 1202 -0.24749123
30 1517 -0.27551651
30 1693 -0.30207301
30 2152 -0.15846976
30 2384 -0.29553456
30 2479 -0.28654461
30 2606 -0.22626499
31 1458 -0.15366351
32 1926 2.86778915
33 46 -0.17165813
33 280 -0.27491466
33 887 -0.28559523
33 1199 -0.17024509
33 2407 -0.25538070
33 2486 -0.14963827
34 2076 -0.12314378
35 943 -0.14198431
36 760 -0.22323406
36 1753 0.85420832
36 1760 -0.26787860
36 2088 -0.28089359
37 195 -0.14761438
37 641 -0.05580059
37 1156 -0.09370547
37 1613 -0.12502784
37 2475 -0.04954799
38 49 -0.29639184
38 384 -0.29284702
38 484 -0.27475111
38 510 -0.30616630
38 690 -0.27886647
38 802 -0.25879555
38 1172 -0.16926721
38 1335 -0.28235100
38 1361 -0.12502784
38 1798 -0.30818463
38 2011 -0.29951273
38 2148 -0.20663085
38 2600 -0.30629883
39 233 -0.12987254
39 361 -0.29677759
39 445 -0.26386620
39 869 -0.26457818
39 930 -0.26150387
39 1206 -0.29566886
39 1255 -0.29737055
39 1381 -0.29480188
39 1435 -0.27401515
39 1616 -0.28713169
39 1873 -0.28509691
39 2176 -0.28828910
39 2600 -0.30574306
39 2603 -0.26167704
40 771 -0.24089705
40 782 -0.05510856
40 1170 -0.06144107
40 1873 -0.25691149
41 1734 0.44207189
42 418 3.82159059
42 1036 1.04496860
43 44 0.34418949
44 140 -0.29340296
44 324 -0.12987254
44 331 -0.26927526
44 1659 -0.20995032
44 1846 -0.30098057
44 2406 -0.29753540
44 2571 -0.27532186
45 1916 -0.05322778
46 149 0.58714391
46 286 0.24801451
46 852 0.58714391
46 963 -0.29600558
47 291 -0.04178698
47 777 -0.24902202
47 1106 -0.28271147
47 1187 -0.15470166
47 1191 -0.06426715
47 1748 -0.28430326
47 1800 -0.23942513
47 1838 -0.14927029
48 1800 -0.26901115
49 50 -0.30899876
49 110 -0.30427222
49 111 -0.30427222
49 131 -0.29724795
49 288 -0.29916251
49 361 -0.30368346
49 395 -0.29520774
49 445 -0.29994787
49 461 -0.29512143
49 533 -0.29590990
49 754 -0.29414870
49 869 -0.30498013
49 905 -0.30482748
49 947 -0.30530759
49 960 -0.28987170
49 1082 -0.30348410
49 1155 -0.29904681
49 1223 -0.30046458
49 1381 -0.30904014
49 1559 -0.30515253
49 1664 -0.29353276
49 1748 -0.30660628
49 1779 -0.30122743
49 1810 -0.30241579
49 1845 -0.29917078
49 1846 -0.30273421
49 1893 -0.29775436
49 1900 -0.30024469
49 1903 -0.30459686
49 2010 -0.30088851
49 2044 -0.30437788
49 2089 -0.30382145
49 2121 -0.30073084
49 2190 -0.29255070
49 2207 -0.29389401
49 2417 -0.30366635
49 2600 -0.30869438
49 2601 -0.30069363
50 74 -0.30769253
50 77 -0.30781207
50 110 -0.30887179
50 111 -0.30881483
50 125 -0.30971729
50 131 -0.30785459
50 224 -0.30811811
50 281 -0.30994869
50 307 -0.30991784
50 314 -0.30877773
50 321 -0.31031969
50 324 -0.30762798
50 348 -0.30846126
50 361 -0.31056898
50 368 -0.30748095
50 414 -0.30794325
50 445 -0.31027727
50 450 -0.30945562
50 461 -0.30742311
50 510 -0.30954470
50 526 -0.30867060
50 533 -0.30713326
50 534 -0.30723121
50 639 -0.30776088
50 679 -0.30831931
50 684 -0.30863583
50 755 -0.30893588
50 763 -0.31016909
50 777 -0.30895389
50 801 -0.31008791
50 809 -0.30823858
50 869 -0.30949556
50 947 -0.30906574
50 953 -0.30851318
50 960 -0.30684110
50 966 -0.30926343
50 1067 -0.31036740
50 1095 -0.31006447
50 1100 -0.30844029
50 1147 -0.30790337
50 1155 -0.30898207
50 1185 -0.30869438
50 1198 -0.30809491
50 1201 -0.30965321
50 1206 -0.30896227
50 1212 -0.30990679
50 1223 -0.30833518
50 1255 -0.30968989
50 1266 -0.30999700
50 1299 -0.30815943
50 1300 -0.30855923
50 1305 -0.30838262
50 1348 -0.30850755
50 1381 -0.30978322
50 1398 -0.30996153
50 1410 -0.31027727
50 1559 -0.30902709
50 1616 -0.30801788
50 1624 -0.30988677
50 1779 -0.30938952
50 1846 -0.30848324
50 1861 -0.30852467
50 1893 -0.30994632
50 1900 -0.30669674
50 1960 -0.30992833
50 1985 -0.30703983
50 2010 -0.30942945
50 2011 -0.30830479
50 2026 -0.30882470
50 2044 -0.31020820
50 2089 -0.30727125
50 2093 -0.31054029
50 2136 -0.30804258
50 2205 -0.31043823
50 2209 -0.30975733
50 2271 -0.30909489
50 2272 -0.30854990
50 2345 -0.30708728
50 2356 -0.30769740
50 2417 -0.30890690
50 2435 -0.30990679
50 2458 -0.30826515
50 2540 -0.30997896
50 2600 -0.31013656
51 1340 -0.17529166
51 1946 -0.30212875
52 1802 -0.11535844
52 2324 0.68888273
53 211 0.65402776
53 1335 -0.16926721
54 2151 -0.27339695
55 1296 10.18026690
55 1832 7.84875226
56 138 -0.25502744
56 507 -0.23880675
56 1719 -0.23629840
56 2110 -0.18437548
57 362 -0.28382589
58 280 -0.27709115
58 281 -0.22719922
59 858 -0.28211069
60 874 0.18018863
60 957 1.72852631
60 2403 2.31140497
61 2122 0.03450140
62 321 -0.30282325
62 603 -0.31095615
62 1220 -0.29082443
62 1674 -0.30952839
63 301 -0.21996314
63 933 -0.29987100
63 994 -0.29082443
63 1340 -0.22834319
63 1385 -0.24054379
63 1518 -0.26765282
63 1727 -0.30225949
63 1804 -0.23622585
63 1978 -0.06322200
63 2610 -0.27594704
64 930 -0.19944011
65 901 -0.23221581
65 963 -0.28559523
65 1768 1.51657043
66 452 -0.24522268
66 1530 -0.20124544
66 2051 1.36714154
67 1040 0.04432753
67 1674 -0.30912707
68 1324 0.34418949
68 1550 0.00769318
68 2124 0.18018863
68 2211 0.36670980
69 1005 0.34975333
69 1371 0.18018863
69 1540 0.14768873
69 1783 -0.18861460
69 1823 -0.15454465
70 865 8.48461989
70 1017 3.73916331
71 716 -0.27304921
71 848 -0.24972854
71 858 -0.27798212
71 1023 -0.27798212
71 1070 -0.25514374
71 1286 -0.25637041
71 1853 -0.25456224
71 1996 -0.28509691
71 2202 -0.25456224
71 2313 -0.26164739
71 2407 -0.25072143
71 2577 -0.25260270
72 1961 -0.09296951
73 2620 10.18026690
74 461 -0.06322200
74 534 -0.14348932
74 562 -0.08830554
74 1816 -0.16633356
74 2089 -0.12502784
75 282 6.78897287
75 1353 -0.26352775
76 1991 -0.24666456
77 111 -0.29618221
77 1410 -0.22127151
77 1810 -0.23702388
77 2546 0.85420832
78 389 -0.30153219
78 596 -0.29775133
78 826 -0.29540393
79 557 -0.25549456
79 2267 0.40674591
80 459 1.36714154
80 1710 7.10690669
81 721 -0.30061059
82 376 -0.27916686
82 563 -0.16231477
82 606 -0.30948562
82 1128 -0.26991482
82 1419 -0.08733122
82 1774 -0.08487397
82 1844 -0.12593084
82 2075 -0.18901202
82 2396 -0.12903145
82 2473 -0.13988226
82 2605 -0.29954369
83 887 -0.25385213
84 185 -0.22709784
84 1305 -0.15894078
84 1958 0.14696779
85 888 0.56276898
85 1292 -0.10744335
86 1879 0.72173589
87 727 0.18301470
87 1862 -0.26754433
87 2222 1.36714154
88 797 0.34975333
88 930 -0.21440256
89 276 -0.28140417
89 605 -0.26787860
89 606 -0.30560127
89 693 -0.29459254
89 1236 -0.23221581
89 1523 -0.16633356
89 1778 -0.06322200
89 1798 -0.30783978
90 994 -0.25708812
90 1173 -0.23381850
90 1760 -0.29390440
90 2613 -0.24678471
91 224 -0.26491872
91 288 -0.28709256
91 361 -0.28646547
91 445 -0.28887060
91 483 -0.25125934
91 631 -0.29187950
91 693 -0.29773263
91 1571 -0.27021761
91 1605 -0.28590595
91 1748 -0.29441108
91 1750 -0.25856004
91 1925 -0.27397234
91 2113 -0.26587232
91 2139 -0.27749516
92 540 -0.24666456
92 850 -0.29987100
92 1635 0.32864425
93 902 -0.30062933
93 979 0.08619535
93 1798 -0.30388515
94 2608 -0.10744335
95 203 -0.28352178
95 887 -0.26150387
96 126 -0.22029023
96 477 -0.16664040
96 959 -0.16082483
96 1174 -0.14763646
96 1453 -0.11338908
96 1660 -0.16270888
96 2081 -0.23585048
96 2354 -0.13361074
96 2357 -0.24749123
97 404 -0.20469037
97 1629 1.94931368
98 594 1.36714154
98 953 -0.23629840
98 1381 -0.29390044
98 1494 -0.24450174
