5640 59748
0 4 0.12368411
0 5 0.39145676
0 10 0.35351880
0 12 0.17249264
0 14 0.31943737
0 1661 0.09706508
0 1971 0.19170187
0 2141 0.19170187
0 2244 0.48144394
0 2411 0.48144394
0 2671 0.43385585
0 2717 0.48144394
0 2823 0.19170187
0 3653 0.05430201
0 3823 0.74462469
0 4012 0.09706508
0 4260 0.48144394
0 4369 0.28870696
0 4722 -0.08924404
0 5348 0.66520295
1 1649 0.83625521
1 1916 -0.14927204
1 5577 3.10880670
2 1916 -0.14927195
3 4 0.48144394
3 264 0.53510367
3 3074 0.06388347
3 3128 0.83625521
3 3653 0.26090222
3 3821 2.58840960
3 5261 0.28870696
4 9 0.39145676
4 14 0.35351880
4 264 0.15486183
4 311 0.00223881
4 706 0.21268373
4 711 0.48144394
4 1661 0.10986280
4 3074 -0.01900610
4 3128 0.23566323
4 3653 0.06388347
4 3736 0.26090222
4 3821 0.53510367
4 3967 0.53510367
4 4012 0.10986280
4 4722 -0.08773246
4 5261 0.07415744
4 5445 0.59591362
5 203 -0.05602164
5 1288 3.10880670
5 1661 0.35351880
5 2346 4.71776390
5 3653 0.23566323
5 4012 0.35351880
5 4722 -0.06652661
6 2070 0.43385585
7 1916 -0.14927199
7 2750 15.62005789
8 1916 -0.14927204
8 3810 10.80163331
8 5337 0.66520295
9 264 0.43385585
9 1661 0.31943737
9 3003 0.04535219
9 3128 0.66520295
9 3653 0.21268373
9 3821 1.86207009
9 4722 -0.06887557
9 5261 0.23566323
10 1661 0.31943737
10 1916 -0.14927232
10 2314 -0.09602786
10 2781 -0.10655443
10 3003 0.04535219
10 3254 0.08519230
10 4722 -0.06887557
10 5562 -0.01900610
11 244 0.05430201
12 203 -0.07535251
12 219 0.00223881
12 298 0.74462469
12 309 0.83625521
12 800 0.83625521
12 1152 0.94273135
12 1661 0.15486183
12 2093 0.74462469
12 2141 0.28870696
12 2159 0.26090222
12 2620 0.19170187
12 3074 -0.00353477
12 3653 0.09706508
12 4012 0.15486183
12 4722 -0.08283902
13 1916 -0.14927195
14 800 1.86207009
14 1661 0.28870696
14 2093 1.60282276
14 2244 1.60282276
14 3074 0.03697968
14 3653 0.19170187
14 4012 0.28870696
14 4722 -0.07112597
15 1256 0.03697968
15 3430 0.10986280
16 1256 0.03697968
16 3430 0.10986280
17 1256 0.03697968
17 3430 0.10986280
18 1256 0.03697968
18 3430 0.10986280
19 1256 0.03697968
19 3430 0.10986280
20 1256 0.03697968
20 3430 0.10986280
21 1256 0.03697968
21 3430 0.10986280
22 1256 0.03697968
22 3430 0.10986280
23 1256 0.03697968
23 3430 0.10986280
24 1256 0.03697968
24 3430 0.10986280
25 1256 0.03697968
25 3430 0.10986280
26 1256 0.03697968
26 3430 0.10986280
27 1256 0.03697968
27 3430 0.10986280
28 1256 0.03697968
28 3430 0.10986280
29 1256 0.03697968
29 3430 0.10986280
30 1256 0.03697968
30 3430 0.10986280
31 1256 0.03697968
31 3430 0.10986280
32 3872 -0.11217123
32 3959 -0.12101831
33 82 0.39145676
33 390 0.59591362
33 1273 0.66520295
33 2080 0.19170187
33 4943 0.48144394
33 5198 1.60282276
34 82 0.39145676
34 390 0.59591362
34 1273 0.66520295
34 2080 0.19170187
34 4943 0.48144394
34 5198 1.60282276
35 82 0.39145676
35 390 0.59591362
35 1273 0.66520295
35 2080 0.19170187
35 4943 0.48144394
35 5198 1.60282276
36 82 0.39145676
36 390 0.59591362
36 1273 0.66520295
36 2080 0.19170187
36 4943 0.48144394
36 5198 1.60282276
37 3810 24.49033949
38 2022 -0.08616312
39 2022 -0.08616312
40 242 -0.12635892
40 3777 0.59591362
40 3959 -0.12149217
41 1256 0.04535219
42 1256 0.04535219
43 1256 0.04535219
44 1256 0.04535219
45 1256 0.04535219
46 1256 0.04535219
47 1256 0.04535219
48 1256 0.04535219
49 1256 0.04535219
50 1256 0.04535219
51 1256 0.04535219
52 1256 0.04535219
53 1256 0.04535219
54 1256 0.04535219
55 1256 0.04535219
56 1256 0.04535219
57 1256 0.04535219
58 1256 0.04535219
59 1256 0.04535219
60 3385 2.58840960
61 955 -0.01900610
62 955 -0.01900610
63 955 -0.01900610
64 955 -0.01900610
65 955 -0.01900610
66 955 -0.01900610
67 955 -0.01900610
68 955 -0.01900610
69 955 -0.01900610
70 955 -0.01900610
71 955 -0.01900610
72 955 -0.01900610
73 955 -0.01900610
74 955 -0.01900610
75 955 -0.01900610
76 955 -0.01900610
77 955 -0.01900610
78 955 -0.01900610
79 955 -0.01900610
80 955 -0.01900610
81 82 0.39145676
81 390 0.59591362
81 1273 0.66520295
81 2080 0.19170187
81 4943 0.48144394
81 5198 1.60282276
82 390 0.10986280
82 769 0.04535219
82 773 0.17249264
82 791 -0.07112597
82 841 -0.11845727
82 1273 0.12368411
82 1296 -0.14367515
82 1355 -0.08453303
82 1411 -0.14792285
82 1423 -0.07924546
82 1806 -0.08616312
82 2080 0.00836226
82 2741 -0.14778577
82 4054 0.15486183
82 4103 -0.09210494
82 4943 0.08519230
82 5198 0.26090222
83 772 0.15486183
83 1397 0.53510367
83 3288 0.09706508
83 3325 0.15486183
83 3337 -0.00898463
83 3604 0.21268373
83 3824 0.21268373
83 4238 0.39145676
83 4409 0.19170187
83 4924 0.07415744
83 5230 0.35351880
84 385 -0.06150924
84 1469 -0.09602786
84 1658 -0.14730452
84 1759 -0.14868365
