1392 8959
0 82 0.48809434
0 321 0.48781480
0 521 0.46519357
0 1208 0.49262119
0 1273 0.46265894
1 872 0.42471840
1 930 0.28667799
1 1040 0.42306220
1 1286 0.42398987
2 372 0.70334253
2 588 0.22010480
2 612 0.18462574
2 787 0.25561664
2 893 -0.12074328
2 1288 0.35197996
3 19 2.09856404
3 499 1.37043125
3 956 1.38879465
4 112 -0.09351908
4 279 -0.18418123
4 315 -0.08776696
4 357 0.01985613
4 711 -0.19516404
4 862 -0.10504897
4 1090 -0.18298936
4 1332 -0.17030233
5 72 -0.06560911
5 187 -0.11541835
5 667 -0.09263495
5 1047 -0.04508289
5 1086 -0.07842415
5 1142 -0.07255715
5 1154 -0.07844446
5 1308 -0.06372976
5 1317 -0.02498359
6 207 0.25561664
6 220 0.17896048
6 495 0.25561664
6 553 0.14848623
6 987 0.25561664
6 1049 0.25561664
6 1189 0.61251830
7 163 0.96082610
7 547 0.59581709
7 1134 0.88392225
7 1150 0.93969343
8 635 13.95112617
9 950 1.65919626
10 982 3.48536478
10 1281 5.62207043
11 78 -0.15138629
11 87 0.31581281
11 432 -0.20041683
11 473 0.02437622
11 602 0.13102171
11 793 0.48323943
11 1263 0.04731452
12 224 -0.18815080
12 323 -0.14648106
12 337 -0.18129886
12 419 -0.21544223
12 481 -0.19865905
12 586 -0.17674439
12 637 -0.21649658
12 747 -0.16019117
12 805 -0.21370203
12 844 -0.18977145
12 866 -0.19291031
12 968 -0.21008481
12 1033 -0.18332835
12 1050 -0.20640650
12 1311 -0.19335969
12 1326 -0.21117741
12 1365 -0.19019365
13 32 0.07892674
13 96 0.12875456
13 119 0.07306673
13 519 0.07926360
13 611 0.02929688
13 1115 0.04413901
13 1130 0.11572002
14 400 0.30088361
15 687 1.93039445
15 762 1.26319480
15 1331 1.88038210
16 59 -0.22090381
16 66 -0.19343387
16 170 -0.22077690
16 190 -0.22124311
16 253 -0.18956189
16 338 -0.21831784
16 341 -0.17867164
16 360 -0.21900648
16 397 -0.21873814
16 442 -0.22054423
16 465 -0.22070299
16 652 -0.22004746
16 732 -0.22080921
16 765 -0.22171919
16 768 -0.22014907
16 846 -0.22099265
16 880 -0.19023299
16 1019 -0.18956101
16 1054 -0.18410149
16 1107 -0.22078693
16 1201 -0.22270102
16 1268 -0.17825224
16 1320 -0.22034302
16 1351 -0.18107872
17 280 -0.15979309
17 305 -0.15024610
17 410 -0.17950891
17 550 -0.16388882
17 758 -0.15024610
17 775 -0.18189827
17 784 -0.14465772
17 815 -0.15526640
17 865 -0.15024610
17 901 -0.15526640
17 1000 -0.17868190
17 1116 -0.15024610
17 1141 -0.15024610
17 1229 -0.06345320
17 1369 -0.14465772
18 641 2.71729523
18 1095 2.44407068
19 499 1.38879465
19 956 1.38879465
20 915 1.23795400
20 920 0.14415636
20 1109 -0.11454434
21 100 0.30535281
21 120 0.01766758
21 350 0.17896048
21 625 0.17896048
21 775 -0.15877727
21 849 0.11930396
21 1307 0.11930396
22 636 1.36977622
22 726 0.17896048
22 964 0.59477132
22 1140 0.17896048
22 1173 0.40123358
23 410 -0.15561839
24 534 -0.22091170
24 650 -0.11099393
24 765 -0.22109608
24 943 -0.12525636
24 969 -0.12553690
24 972 -0.22041730
24 1044 -0.22090708
24 1206 -0.22182354
24 1320 -0.21885242
25 969 -0.08500256
26 27 -0.01984048
26 54 -0.13204002
26 508 0.20556483
26 828 -0.01689770
26 974 -0.14255997
26 1001 -0.12402256
26 1157 0.42528109
27 54 -0.14648106
27 55 0.06878916
27 114 -0.16782887
27 286 -0.07244696
27 508 0.04413901
27 828 -0.08161772
27 1001 -0.10500354
27 1065 -0.12257456
27 1293 -0.17847261
28 45 -0.22216790
28 60 -0.22222477
28 102 -0.22185908
28 115 -0.21580333
28 136 -0.21566317
28 152 -0.21496336
28 170 -0.22047489
28 213 -0.21581991
28 225 -0.20960884
28 245 -0.22264662
28 304 -0.21655741
28 312 -0.21525062
28 346 -0.21556742
28 392 -0.21396806
28 397 -0.22138457
28 536 -0.21665827
28 545 -0.21479225
28 549 -0.21780431
28 633 -0.21609610
28 646 -0.21568124
28 716 -0.21351267
28 736 -0.21686783
28 830 -0.21375721
28 840 -0.21391759
28 869 -0.21573759
28 879 -0.21600663
28 882 -0.21767138
28 890 -0.21485501
28 923 -0.21611112
28 935 -0.21589034
28 1006 -0.21658111
28 1014 -0.21534867
28 1038 -0.21787248
28 1096 -0.21962270
28 1156 -0.20293330
28 1206 -0.22265450
28 1220 -0.21564172
28 1276 -0.21796446
28 1285 -0.21781588
28 1302 -0.21626395
28 1327 -0.21526534
28 1341 -0.21626923
28 1373 -0.21302545
28 1375 -0.21560979
29 1230 7.96606916
30 109 3.06427568
30 1194 1.69070694
31 134 3.37030914
31 144 3.26144524
32 119 -0.01466880
32 519 0.16152537
32 611 -0.03875709
32 1115 0.01662429
32 1130 0.21807709
33 506 4.44103764
33 1267 4.72053948
34 62 -0.20968618
34 159 -0.19687333
34 197 -0.21035657
34 217 -0.18763299
34 325 -0.19911270
34 353 -0.20364966
34 387 -0.21420544
34 402 -0.19945109
34 413 -0.18908312
34 419 -0.21280687
34 493 -0.20620472
34 527 -0.21416901
34 528 -0.19957208
34 537 -0.20512021
34 637 -0.21477254
34 719 -0.19564003
34 741 -0.18644706
34 805 -0.21399366
34 871 -0.21326581
34 899 -0.21299285
34 946 -0.18928129
34 1048 -0.17900344
34 1102 -0.20043135
34 1259 -0.20440262
34 1362 -0.20735592
34 1383 -0.20968618
35 50 -0.22055078
35 59 -0.22179671
35 60 -0.22242015
35 101 -0.22190713
35 103 -0.21973227
35 146 -0.22101750
35 186 -0.22172887
35 190 -0.22177475
35 191 -0.22248643
35 208 -0.22063998
35 230 -0.22150099
35 245 -0.22298822
35 327 -0.22196150
35 344 -0.22147278
35 351 -0.22163767
35 391 -0.22215091
35 442 -0.22112935
35 443 -0.21924996
35 452 -0.21976548
35 456 -0.22231233
35 457 -0.21904026
35 471 -0.22157574
35 479 -0.21888655
