1809 7646
0 517 -0.21265304
0 581 -0.22023987
0 586 -0.17776542
0 883 -0.19681669
0 1043 0.17951900
0 1266 -0.17050812
0 1519 -0.23066155
0 1656 -0.15132089
0 1781 -0.16809869
1 788 2.30630993
2 125 0.63590869
2 420 0.19057497
2 677 -0.03572012
2 1576 0.33860561
2 1662 0.66454763
3 247 -0.03062793
3 323 0.01574858
3 1133 0.42148351
3 1202 0.24585260
3 1352 0.25848003
3 1675 0.55258966
4 121 0.23771510
4 404 0.06145514
4 774 -0.18017272
4 1016 0.06113015
4 1022 -0.05907364
4 1676 0.42891461
5 33 1.25519954
5 648 0.39211647
5 1234 0.58955795
6 232 1.05788473
7 908 0.46963627
7 1341 0.44358319
8 1354 1.85556999
8 1375 4.61687975
9 109 -0.19316219
9 246 -0.19635400
9 856 -0.12829672
9 1301 -0.20476096
9 1366 -0.10996698
9 1414 -0.19484698
9 1490 -0.17563814
9 1705 -0.15345807
9 1715 -0.20652188
10 266 0.07898324
10 286 -0.03243452
10 643 0.07726760
10 714 -0.10436936
10 1274 0.21541808
10 1368 -0.17171979
10 1555 -0.03392800
11 299 0.14161548
11 310 0.00214556
11 330 0.02751899
11 617 -0.25267009
11 694 0.09265754
11 1349 -0.16726814
12 220 0.26215689
12 274 -0.11232946
12 504 0.49092511
12 705 0.32967475
12 1482 0.89519729
12 1508 0.27859307
13 818 6.71016008
13 1368 -0.19098689
13 1555 0.00903195
14 30 0.89053781
14 1223 0.17741066
14 1259 0.00214556
14 1591 -0.12083688
15 191 0.15919845
15 356 -0.09310798
15 469 0.15919845
16 102 -0.23187710
16 130 0.08601253
16 158 -0.18976842
16 560 -0.22515549
16 615 -0.04593160
16 780 -0.04456792
16 1031 0.05501477
16 1250 -0.21432502
16 1347 -0.20696581
17 98 -0.25775485
17 212 -0.26042038
17 293 -0.24495250
17 421 -0.22425574
17 439 -0.23975680
17 492 -0.23879150
17 546 -0.27130034
17 619 -0.25184836
17 622 -0.24252883
17 757 -0.23619105
17 820 -0.26956328
17 958 -0.25238419
17 1020 -0.22622826
17 1045 -0.26407438
17 1095 -0.23210946
17 1124 -0.22413093
17 1248 -0.25216628
17 1344 -0.24881197
17 1370 -0.24177506
17 1707 -0.22930992
17 1729 -0.24179749
17 1779 -0.25722584
18 46 -0.05460448
18 145 -0.05311069
18 175 -0.09752805
18 675 0.18629221
18 792 -0.09752805
18 1452 -0.09409035
18 1478 0.09338897
19 34 -0.12839828
19 522 -0.12711543
19 979 -0.15054217
19 1185 -0.16228092
19 1253 0.09569032
19 1539 -0.03791671
19 1797 0.02131708
20 161 -0.12839828
20 881 0.11362223
20 975 0.61919749
20 1737 0.19057497
21 104 -0.22008072
21 225 -0.24296390
21 249 -0.21085602
21 328 -0.24507862
21 440 -0.17648923
21 444 -0.23818185
21 465 -0.26472738
21 576 -0.25462650
21 773 -0.18911346
21 775 -0.24084664
21 936 -0.22334359
21 1140 -0.23401105
21 1148 -0.24251927
21 1194 -0.23421050
21 1378 -0.20923537
21 1655 -0.25419442
21 1762 -0.23745534
22 665 -0.22602572
22 715 -0.23162622
22 761 -0.24160352
22 766 -0.15321939
22 774 -0.22602572
22 793 -0.23309402
22 912 -0.22120531
22 1178 -0.20941696
22 1205 -0.18382716
22 1351 -0.21378197
22 1562 -0.17988664
22 1618 -0.25158400
22 1636 -0.20476096
23 580 0.87034118
24 38 10.15839218
25 157 1.93655310
25 525 3.92741948
25 1388 4.24322339
26 165 0.41713972
26 1255 0.42891461
26 1282 -0.19169666
27 365 -0.21202881
27 400 -0.20357699
27 533 -0.24784339
27 712 -0.21518222
27 972 -0.19552272
27 997 -0.23453223
27 1008 -0.20215158
27 1056 -0.21191060
27 1123 -0.20707271
27 1173 -0.19318202
27 1298 -0.23655134
27 1453 -0.15337405
27 1489 -0.19975546
27 1599 -0.12578763
27 1783 -0.19517384
28 825 2.84964150
28 1154 1.24529237
28 1424 2.90071058
29 1633 1.71336974
30 1259 0.11801622
30 1591 -0.06189547
31 119 1.96121929
31 433 1.15427918
32 1377 -0.03653026
33 648 0.54291141
33 1234 0.68461804
33 1556 0.87230441
34 522 -0.15440210
34 1185 -0.07249334
34 1189 -0.18495537
34 1444 -0.14165212
34 1454 -0.17480689
34 1573 -0.09179663
34 1670 -0.19204317
34 1797 -0.07807027
35 149 0.14003116
35 456 0.42519116
35 809 0.37298907
35 997 -0.19651855
35 1103 0.67389011
35 1704 0.47551563
36 132 -0.20885912
36 219 -0.19004522
36 277 -0.19590132
36 329 -0.17232931
36 570 -0.21697897
36 819 -0.12225973
36 876 -0.17783077
36 932 -0.15170300
36 1189 -0.24268746
36 1244 -0.15061823
36 1353 -0.17127192
36 1488 -0.16559577
36 1533 -0.20452605
36 1770 -0.15221597
37 215 -0.09409035
37 304 -0.23194818
37 505 -0.13571312
37 533 -0.23070195
37 1049 -0.10592583
37 1105 -0.14679033
37 1163 -0.06434391
38 354 0.30696632
39 227 -0.15820660
39 346 -0.13267236
39 528 -0.08536126
39 748 0.18625108
39 768 -0.12083688
39 831 0.13726591
39 852 -0.01435091
39 1145 -0.06325983
39 1203 0.11697260
40 335 0.17246659
40 1513 0.92981689
41 169 -0.24177906
41 325 -0.18857102
41 375 -0.21499738
41 401 -0.25370441
41 570 -0.20850174
41 662 -0.17924457
41 802 -0.23868777
41 1070 -0.19665328
41 1394 -0.23253050
41 1511 -0.24866859
41 1607 -0.23201528
41 1611 -0.22007086
41 1686 -0.22075106
41 1701 -0.13939508
42 57 -0.26878284
42 171 -0.27057797
42 197 -0.26522060
42 259 -0.25068317
42 273 -0.26113328
42 294 -0.25198964
42 392 -0.25990263
42 451 -0.25926421
42 510 -0.26322284
42 692 -0.27020968
42 832 -0.26628761
42 919 -0.26652492
42 1479 -0.26041831
42 1514 -0.22816741
42 1570 -0.26534741
42 1642 -0.26573698
42 1674 -0.26681116
42 1789 -0.25995407
42 1790 -0.26566474
43 51 -0.15291233
43 288 -0.18111854
43 573 0.03084257
43 806 -0.13528747
43 940 -0.13528747
43 1186 0.13726591
43 1229 0.06145514
43 1600 -0.12488688
44 728 0.99294722
45 1006 8.49474604
45 1677 0.63028438
46 145 -0.05311069
46 175 -0.09752805
46 675 0.18629221
46 792 -0.09752805
46 1452 -0.09409035
46 1478 0.09338897
47 104 0.27196114
48 127 -0.19062100
48 178 -0.15400638
48 304 -0.23884340
48 321 -0.15321939
48 983 -0.24005320
48 1270 -0.19371301
48 1364 -0.12839828
48 1407 -0.17919135
48 1759 -0.16764716
49 1166 -0.09908761
49 1479 -0.22661021
50 94 -0.23628048
50 216 -0.19603705
50 278 -0.20984211
50 423 -0.23363832
50 459 -0.24439363
50 499 -0.27070197
50 524 -0.26232549
50 536 -0.23173690
50 546 -0.26655892
50 641 -0.25098742
50 685 -0.18798861
50 693 -0.21760681
50 817 -0.25967848
50 820 -0.26253411
50 923 -0.19557753
50 1045 -0.26358135
50 1219 -0.22967419
50 1431 -0.23997117
50 1641 -0.22774208
50 1799 -0.24448729
51 223 -0.01192548
51 537 -0.06434391
51 767 -0.13571312
51 806 -0.13571312
51 940 -0.13571312
51 1032 -0.13159880
51 1600 -0.20476096
52 571 0.02224346
52 646 -0.13663327
52 1004 -0.17575498
52 1019 -0.14602313
52 1071 0.20999875
52 1135 -0.19660228
52 1535 -0.12615845
53 1032 0.03222949
53 1138 0.04499676
53 1746 -0.00899143
53 1756 0.10553442
54 151 -0.20647879
54 240 -0.18490813
54 394 -0.07050308
54 879 0.10876246
54 1005 0.30001923
54 1416 0.33992045
54 1508 -0.13159593
54 1611 -0.15957470
55 58 0.59790865
56 288 -0.06237890
56 945 1.13345891
56 1524 1.13345891
57 124 -0.27415048
57 183 -0.27316661
57 189 -0.26799556
57 209 -0.26833361
57 213 -0.27384990
57 333 -0.27427331
57 349 -0.26712524
57 381 -0.26937354
57 396 -0.26984217
57 407 -0.26996302
57 436 -0.27437667
57 455 -0.26949471
57 741 -0.26920340
57 815 -0.27352257
57 860 -0.27035945
57 886 -0.26770469
57 906 -0.26950601
57 1042 -0.27380517
57 1057 -0.27380517
57 1083 -0.26909218
57 1147 -0.26712580
57 1179 -0.27380517
57 1220 -0.26918188
57 1232 -0.27348766
57 1240 -0.26887447
57 1286 -0.26725886
57 1299 -0.27099117
57 1308 -0.27309392
57 1336 -0.27387471
57 1348 -0.27348766
57 1386 -0.26988478
57 1438 -0.27331932
57 1468 -0.27391208
57 1479 -0.26477698
57 1589 -0.26938856
57 1603 -0.26995009
57 1716 -0.27348766
57 1778 -0.26652987
58 453 -0.22972833
58 765 0.11297654
58 834 -0.25119629
58 1284 -0.09956792
58 1590 -0.22887848
58 1733 0.10419826
59 272 -0.25392516
59 491 -0.23127127
59 517 -0.22868318
59 581 -0.23370613
59 586 -0.23816064
59 706 -0.22900652
59 743 -0.23559459
59 834 -0.25440966
59 883 -0.20988367
