3654 14308
0 2760 -0.10035722
1 3614 16.39279997
2 513 -0.13726705
2 551 -0.17369934
2 1579 -0.10231498
2 2748 -0.15298722
3 250 0.09078013
4 2497 -0.16869582
5 3593 -0.16055056
6 1355 0.53209112
7 2888 -0.13069667
8 2443 -0.14159075
9 1686 0.24625465
10 117 -0.17249763
10 231 -0.10301539
10 319 -0.16159401
10 438 -0.17701461
10 478 -0.14854734
10 481 -0.15178761
10 493 -0.17148506
10 531 -0.17117494
10 551 -0.17568895
10 652 -0.17459055
10 689 -0.17422548
10 826 -0.13448220
10 828 -0.17596724
10 840 -0.17694943
10 877 -0.15682627
10 926 -0.14555250
10 951 -0.17501313
10 1151 -0.17597074
10 1182 -0.15655373
10 1236 -0.16848094
10 1359 -0.11351829
10 1392 -0.17493889
10 1700 -0.17353151
10 2288 -0.16846125
10 2584 -0.16055056
10 2658 -0.15551083
10 3204 -0.08445601
10 3293 -0.17507142
10 3371 -0.16159401
11 56 -0.09497147
11 74 -0.17456314
11 75 -0.17568903
11 128 -0.16970704
11 159 -0.17127394
11 160 -0.17545665
11 641 -0.13887680
11 707 -0.17449252
11 840 -0.17656444
11 924 -0.15156851
11 1188 -0.11505503
11 1214 -0.16619216
11 1216 -0.10231498
11 1300 -0.11956989
11 1464 -0.14132910
11 1675 -0.17549191
11 1806 -0.13297440
11 2195 -0.16020369
11 2292 -0.13964833
11 2339 -0.17597891
11 2451 -0.14249401
11 2529 -0.11435334
11 2644 -0.16619687
11 2731 -0.11187251
11 2834 -0.15510001
11 2877 -0.14732796
11 3056 -0.16948425
11 3177 -0.16189112
11 3444 -0.15533562
11 3455 -0.17190642
12 1805 -0.17215280
13 625 -0.17577568
14 75 -0.17524966
14 160 -0.17597437
14 299 -0.11835255
14 707 -0.17677653
14 720 -0.13082179
14 746 -0.14919109
14 810 -0.08969745
14 901 -0.05798712
14 1334 -0.16560515
14 1382 -0.16760529
14 1837 -0.13615304
14 2296 -0.04960200
14 2342 -0.14301614
14 2479 -0.11098551
14 2545 -0.08969745
14 3056 -0.16946195
14 3498 -0.16634519
14 3512 -0.12667362
15 1252 0.17902265
15 1340 0.24693376
15 2143 -0.13386697
15 2660 0.14506709
15 3057 -0.13608490
15 3526 -0.08696253
16 213 0.30479680
16 2760 0.19470800
16 3050 -0.16331864
16 3450 0.19434038
16 3478 0.25229119
17 2497 -0.16810816
18 166 -0.15143281
18 200 -0.16996500
18 272 -0.15018549
18 482 -0.14159075
18 521 -0.13921548
18 538 -0.15366260
18 553 -0.02995073
18 895 -0.16159401
18 989 -0.15810750
18 1297 -0.06557394
18 1425 -0.08910568
18 1610 -0.14259230
18 1736 -0.16111512
18 1906 -0.16420564
18 2131 -0.17249763
18 2510 -0.17213997
18 2588 -0.07673414
18 2767 -0.05735404
18 2927 -0.17145324
18 3150 -0.09299907
18 3236 -0.03791562
18 3459 -0.09669084
19 75 -0.17704314
19 200 -0.17506389
19 387 -0.09580512
19 496 0.02004892
19 1697 -0.12616012
19 2339 -0.17509014
19 2614 -0.08106886
19 2748 -0.16507326
19 2951 0.03712197
19 3258 0.19434038
19 3551 -0.14830890
20 1475 -0.13676401
21 27 -0.08881045
21 200 -0.17585637
21 452 -0.15810750
21 493 -0.16867100
21 531 -0.17019322
21 828 -0.17411714
21 830 -0.17566275
21 840 -0.17721554
21 876 -0.16053290
21 1182 -0.15263954
21 1377 -0.15871175
21 1384 -0.17535519
21 1675 -0.16845662
21 1988 -0.12606454
21 2194 -0.15296254
21 2266 -0.12784715
21 2497 -0.17442454
21 2505 -0.17694219
21 2510 -0.17422548
21 2584 -0.15143281
21 3179 -0.17363465
21 3397 -0.16936134
21 3504 -0.14670034
22 126 0.19470800
23 60 -0.17176349
23 75 -0.17710373
23 160 -0.17639280
23 340 -0.14670034
23 424 -0.07873088
23 463 -0.17391018
23 483 -0.15366260
23 642 -0.17596724
23 707 -0.17696088
23 762 -0.06017314
23 951 -0.17479423
23 993 -0.15340022
23 1032 -0.14921438
23 1119 -0.16111512
23 1412 -0.13593244
23 1604 -0.17678116
23 1643 -0.17282859
23 1746 -0.17557266
23 2050 -0.17026984
23 2351 -0.14969428
23 2982 -0.09893420
23 3037 -0.09435421
23 3232 -0.17429854
24 478 -0.13808835
25 257 -0.13616646
25 397 -0.10903431
25 2918 -0.17251635
26 117 -0.15962462
26 1094 -0.17248188
26 1622 -0.09392777
26 2996 -0.08943845
26 3614 1.72400038
27 441 -0.10477649
27 625 -0.17316100
27 2022 -0.02474918
27 2202 -0.00312165
27 2564 -0.15410367
28 30 -0.17468399
28 224 -0.17601944
28 381 -0.17023526
28 390 -0.16652862
28 420 -0.17265988
28 438 -0.17402929
28 531 -0.17641321
28 538 -0.16785220
28 629 -0.17440132
28 707 -0.17710192
28 840 -0.17627873
28 844 -0.17580237
28 860 -0.16457522
28 917 -0.17485790
28 1019 -0.16186395
28 1246 -0.17333822
28 1382 -0.17650467
28 1468 -0.17378441
28 1604 -0.17694219
28 1710 -0.15488307
28 1718 -0.16384808
28 1746 -0.17677355
28 2131 -0.17454375
28 2223 -0.14454490
28 2349 -0.17670764
28 2505 -0.17341179
28 2576 -0.12168326
28 2649 -0.17104645
28 2683 -0.16555961
28 2867 -0.15933013
28 2996 -0.17484809
28 3095 -0.17492582
28 3262 -0.17526778
28 3310 -0.17116106
28 3327 -0.17529317
28 3368 -0.17267667
28 3383 -0.15582933
28 3455 -0.16757398
28 3632 -0.17369934
28 3633 -0.15940104
29 2714 -0.17332047
30 236 -0.08707020
30 521 -0.17341179
30 557 -0.15982968
30 882 -0.13698855
30 1176 -0.16254404
30 1246 -0.17378441
30 1308 -0.15493634
30 1335 -0.15672156
30 1671 -0.15676006
30 1979 -0.16243034
30 2029 -0.16000470
30 2092 -0.09296827
30 2395 -0.17578800
30 2427 -0.14481273
30 2545 -0.16936134
30 2577 -0.15500758
30 2647 -0.13964833
30 2668 -0.16775365
30 3072 -0.17259181
30 3113 -0.16684695
30 3176 -0.17253260
30 3225 -0.16272730
31 551 -0.17284108
31 2999 -0.14893741
31 3223 -0.14383574
32 456 -0.11027868
32 635 -0.12935210
32 862 -0.04440490
32 3458 0.24935916
32 3592 -0.09479541
33 262 0.13102375
33 316 0.22492553
33 1563 0.06395105
33 1773 0.97697818
33 2932 0.39837553
34 1060 0.09141732
34 1147 -0.16509264
34 2822 -0.16507326
34 3050 -0.10137504
35 840 -0.17705756
35 1176 -0.12487369
35 1353 0.11760921
35 1771 0.12047048
35 1985 0.89820130
35 2675 -0.04281095
35 3511 1.12369971
36 330 -0.13893395
36 454 -0.15150517
36 544 0.16620270
36 789 -0.15577912
36 1521 -0.16399456
36 2927 -0.16832307
36 3196 -0.01838168
37 159 -0.17546023
38 1753 -0.15838691
38 2111 -0.12487369
39 493 -0.17093105
39 531 -0.17038420
39 1182 -0.13010458
40 43 -0.06659347
40 129 -0.10043509
40 148 -0.09828105
40 228 -0.16194771
40 531 -0.17597016
40 559 -0.12961255
40 724 -0.09450821
40 788 -0.15965108
40 1074 -0.15832709
40 1422 -0.11035860
40 1818 -0.17476679
40 1970 -0.08727584
40 2029 -0.14762979
40 2054 -0.07873088
40 2153 -0.15416623
40 2314 -0.10452034
40 2413 -0.12667362
40 2426 -0.07564401
40 2461 -0.00539676
40 2515 -0.16254404
40 2999 -0.14440166
40 3246 -0.02995073
40 3596 -0.10750106
41 2387 18.83759990
42 3403 2.59929912
44 711 -0.00848747
44 1633 0.41516810
44 2288 -0.11129264
44 2353 0.18168858
44 2927 -0.17234265
44 2935 0.22492553
44 3506 -0.14795576
45 478 -0.14383574
45 1156 -0.15336450
46 420 -0.14008411
46 441 -0.17104645
46 629 -0.15068159
46 860 0.09837821
46 1676 -0.15322162
46 2112 -0.15281573
46 2120 -0.14735260
46 2198 -0.15491643
46 2365 -0.17018204
46 3002 0.04320043
46 3054 -0.16329860
46 3318 -0.16724855
46 3455 -0.16206511
46 3632 -0.13646218
47 1147 -0.15871175
47 2037 -0.11275951
47 3593 -0.15855294
48 2341 -0.04923413
49 1435 -0.13236201
50 2680 0.72797078
50 3038 -0.13676401
51 52 0.71150748
51 625 -0.17596724
51 1283 -0.14832573
51 2207 0.42614363
51 2856 0.09078013
51 3004 0.26599045
52 914 -0.13035018
52 1320 -0.16583845
52 2256 -0.16893807
52 3383 -0.16686665
52 3598 -0.17133694
53 71 -0.12832403
53 308 -0.16781486
53 387 -0.13010458
53 687 -0.15672156
53 1228 -0.16349408
53 1305 -0.17534245
53 1673 -0.11955986
53 2037 -0.16981729
53 2214 -0.15941989
53 2439 -0.15906568
53 2497 -0.17282849
53 2982 -0.15376652
53 3036 -0.16516988
53 3349 -0.13544448
